Keyword,Clicks,Impressions,CTR,Position,Date,Page,Country,Device
keiphone,39.0,52.0,0.75,1.0,2019-01-02,gsc_property,worldwide,mobile,
keyphone,10.0,12.0,0.8333333333333334,1.0,2019-01-02,gsc_property,worldwide,mobile,
keiphone k10,6.0,9.0,0.6666666666666666,1.0,2019-01-02,gsc_property,worldwide,mobile,
keiphone smartwatch,3.0,4.0,0.75,1.0,2019-01-02,gsc_property,worldwide,mobile,
celulares chilenos,1.0,3.0,0.3333333333333333,1.0,2019-01-02,gsc_property,worldwide,mobile,
k10s helio,1.0,2.0,0.5,1.0,2019-01-02,gsc_property,worldwide,mobile,
kei f1,1.0,2.0,0.5,1.0,2019-01-02,gsc_property,worldwide,mobile,
keifit,1.0,2.0,0.5,5.0,2019-01-02,gsc_property,worldwide,mobile,
keikids,1.0,1.0,1.0,1.0,2019-01-02,gsc_property,worldwide,mobile,
keiphone k10 helio,1.0,4.0,0.25,1.0,2019-01-02,gsc_property,worldwide,mobile,
keiphone k10s,1.0,6.0,0.16666666666666666,1.0,2019-01-02,gsc_property,worldwide,mobile,
keyfone,1.0,1.0,1.0,1.0,2019-01-02,gsc_property,worldwide,mobile,
marca chilena de celulares,1.0,1.0,1.0,1.0,2019-01-02,gsc_property,worldwide,mobile,
que pasa si no homologo mi celular chile,1.0,3.0,0.3333333333333333,3.0,2019-01-02,gsc_property,worldwide,mobile,
reloj smartwatch chile,1.0,1.0,1.0,38.0,2019-01-02,gsc_property,worldwide,mobile,
smartphone chileno,1.0,2.0,0.5,1.0,2019-01-02,gsc_property,worldwide,mobile,
telefono chileno,1.0,1.0,1.0,1.0,2019-01-02,gsc_property,worldwide,mobile,
telefonos chilenos,1.0,1.0,1.0,3.0,2019-01-02,gsc_property,worldwide,mobile,
av vitacura 2902,0.0,1.0,0.0,9.0,2019-01-02,gsc_property,worldwide,mobile,
celular chileno,0.0,5.0,0.0,1.0,2019-01-02,gsc_property,worldwide,mobile,
celular chileno keiphone,0.0,1.0,0.0,1.0,2019-01-02,gsc_property,worldwide,mobile,
certificación de celular en chile,0.0,1.0,0.0,7.0,2019-01-02,gsc_property,worldwide,mobile,
como sacar pantallazo,0.0,22.0,0.0,8.136363636363637,2019-01-02,gsc_property,worldwide,mobile,
como sacar screenshot,0.0,1.0,0.0,7.0,2019-01-02,gsc_property,worldwide,mobile,
como sacar un screenshot,0.0,1.0,0.0,6.0,2019-01-02,gsc_property,worldwide,mobile,
compro smartphone,0.0,1.0,0.0,9.0,2019-01-02,gsc_property,worldwide,mobile,
cómo sacar un screenshot,0.0,1.0,0.0,6.0,2019-01-02,gsc_property,worldwide,mobile,
f3,0.0,2.0,0.0,7.5,2019-01-02,gsc_property,worldwide,mobile,
f5,0.0,1.0,0.0,58.0,2019-01-02,gsc_property,worldwide,mobile,
helio p9,0.0,1.0,0.0,2.0,2019-01-02,gsc_property,worldwide,mobile,
homologacion de celulares,0.0,2.0,0.0,10.0,2019-01-02,gsc_property,worldwide,mobile,
homologación de celular,0.0,1.0,0.0,9.0,2019-01-02,gsc_property,worldwide,mobile,
homologación de celulares,0.0,1.0,0.0,10.0,2019-01-02,gsc_property,worldwide,mobile,
huawei k10,0.0,4.0,0.0,3.25,2019-01-02,gsc_property,worldwide,mobile,
k 10 valor,0.0,1.0,0.0,10.0,2019-01-02,gsc_property,worldwide,mobile,
