Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves hd,48.0,77.0,0.6233766233766234,1.0129870129870129,2019-05-05,gsc_property,worldwide,mobile,
tuves,45.0,82.0,0.5487804878048781,1.2682926829268293,2019-05-05,gsc_property,worldwide,mobile,
tu ves,30.0,52.0,0.5769230769230769,1.0961538461538463,2019-05-05,gsc_property,worldwide,mobile,
tuves chile,26.0,40.0,0.65,1.05,2019-05-05,gsc_property,worldwide,mobile,
tuves hd planes,21.0,24.0,0.875,1.0,2019-05-05,gsc_property,worldwide,mobile,
tu ves hd,16.0,25.0,0.64,1.0,2019-05-05,gsc_property,worldwide,mobile,
tuveshd,15.0,21.0,0.7142857142857143,1.0,2019-05-05,gsc_property,worldwide,mobile,
tuves hd chile,12.0,17.0,0.7058823529411765,1.0,2019-05-05,gsc_property,worldwide,mobile,
tv cable,10.0,93.0,0.10752688172043011,4.247311827956989,2019-05-05,gsc_property,worldwide,mobile,
tuves.cl,9.0,14.0,0.6428571428571429,1.0,2019-05-05,gsc_property,worldwide,mobile,
canales online,7.0,83.0,0.08433734939759036,9.216867469879517,2019-05-05,gsc_property,worldwide,mobile,
tuvez,7.0,11.0,0.6363636363636364,1.2727272727272727,2019-05-05,gsc_property,worldwide,mobile,
tv satelital,7.0,21.0,0.3333333333333333,1.1428571428571428,2019-05-05,gsc_property,worldwide,mobile,
cable tuves,6.0,10.0,0.6,1.0,2019-05-05,gsc_property,worldwide,mobile,
programacion hbo chile,5.0,817.0,0.006119951040391677,9.025703794369646,2019-05-05,gsc_property,worldwide,mobile,
tu tv,5.0,19.0,0.2631578947368421,1.8947368421052633,2019-05-05,gsc_property,worldwide,mobile,
tu vez,4.0,5.0,0.8,1.0,2019-05-05,gsc_property,worldwide,mobile,
tuvezhd,4.0,5.0,0.8,1.0,2019-05-05,gsc_property,worldwide,mobile,
pagar tuves hd,3.0,12.0,0.25,1.8333333333333335,2019-05-05,gsc_property,worldwide,mobile,
television prepago,3.0,5.0,0.6,3.0,2019-05-05,gsc_property,worldwide,mobile,
televisión satelital,3.0,25.0,0.12,2.76,2019-05-05,gsc_property,worldwide,mobile,
tuves en linea,3.0,11.0,0.2727272727272727,2.0,2019-05-05,gsc_property,worldwide,mobile,
tuves hd fono,3.0,3.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
call center tuves,2.0,2.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
programacion hbo,2.0,791.0,0.0025284450063211127,9.99873577749684,2019-05-05,gsc_property,worldwide,mobile,
television hd,2.0,9.0,0.2222222222222222,9.11111111111111,2019-05-05,gsc_property,worldwide,mobile,
television satelital,2.0,18.0,0.1111111111111111,2.388888888888889,2019-05-05,gsc_property,worldwide,mobile,
tu ves cable,2.0,4.0,0.5,1.0,2019-05-05,gsc_property,worldwide,mobile,
tu veshd,2.0,3.0,0.6666666666666666,1.0,2019-05-05,gsc_property,worldwide,mobile,
tu vez hd,2.0,3.0,0.6666666666666666,1.0,2019-05-05,gsc_property,worldwide,mobile,
tuve tv,2.0,6.0,0.3333333333333333,2.333333333333333,2019-05-05,gsc_property,worldwide,mobile,
tuvehd,2.0,4.0,0.5,1.0,2019-05-05,gsc_property,worldwide,mobile,
tuves cdf hd,2.0,3.0,0.6666666666666666,1.0,2019-05-05,gsc_property,worldwide,mobile,
tuves hd iquique,2.0,5.0,0.4,1.0,2019-05-05,gsc_property,worldwide,mobile,
tuves hd numero telefonico,2.0,6.0,0.3333333333333333,1.8333333333333335,2019-05-05,gsc_property,worldwide,mobile,
tuves hd pago,2.0,10.0,0.2,2.0,2019-05-05,gsc_property,worldwide,mobile,
tuves pago,2.0,11.0,0.18181818181818182,2.0,2019-05-05,gsc_property,worldwide,mobile,
tuves planes,2.0,2.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
tuves tv,2.0,3.0,0.6666666666666666,1.0,2019-05-05,gsc_property,worldwide,mobile,
tuves. cl,2.0,3.0,0.6666666666666666,1.0,2019-05-05,gsc_property,worldwide,mobile,
tv cable tuves,2.0,4.0,0.5,1.0,2019-05-05,gsc_property,worldwide,mobile,
tv hd,2.0,26.0,0.07692307692307693,4.769230769230769,2019-05-05,gsc_property,worldwide,mobile,
tv hd cable,2.0,2.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
tv por cable,2.0,2.0,1.0,2.0,2019-05-05,gsc_property,worldwide,mobile,
tv ves,2.0,2.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
cable mas barato,1.0,1.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
cable television,1.0,1.0,1.0,8.0,2019-05-05,gsc_property,worldwide,mobile,
cable tv,1.0,32.0,0.03125,3.8125,2019-05-05,gsc_property,worldwide,mobile,
call center tuves hd,1.0,1.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
canales de tuves,1.0,1.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
centro de pago tuves hd,1.0,1.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
clave deco tuves hd,1.0,2.0,0.5,2.0,2019-05-05,gsc_property,worldwide,mobile,
como configurar control tuves hd,1.0,4.0,0.25,1.0,2019-05-05,gsc_property,worldwide,mobile,
configuracion decodificador tuves,1.0,1.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
cual es el tv cable mas barato en chile,1.0,1.0,1.0,2.0,2019-05-05,gsc_property,worldwide,mobile,
decodificador kaonmedia hdrec vm9130,1.0,1.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
decodificador satelital,1.0,3.0,0.3333333333333333,11.666666666666666,2019-05-05,gsc_property,worldwide,mobile,
decodificador tuves hd,1.0,2.0,0.5,1.0,2019-05-05,gsc_property,worldwide,mobile,
empresas de cable en chile,1.0,1.0,1.0,5.0,2019-05-05,gsc_property,worldwide,mobile,
fono tuves hd,1.0,1.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
guia canales,1.0,1.0,1.0,10.0,2019-05-05,gsc_property,worldwide,mobile,
guia de canales claro chile 2018,1.0,1.0,1.0,20.0,2019-05-05,gsc_property,worldwide,mobile,
guia programacion,1.0,6.0,0.16666666666666666,5.0,2019-05-05,gsc_property,worldwide,mobile,
hbo chile programacion,1.0,163.0,0.006134969325153374,9.773006134969325,2019-05-05,gsc_property,worldwide,mobile,
htves,1.0,1.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
mas hd,1.0,1.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
mi tuves,1.0,1.0,1.0,1.0,2019-05-05,gsc_property,worldwide,mobile,
oferta de cable tv,1.0,1.0,1.0,4.0,2019-05-05,gsc_property,worldwide,mobile,
oferta tv cable,1.0,2.0,0.5,6.0,2019-05-05,gsc_property,worldwide,mobile,
problemas con tuves hd,1.0,3.0,0.3333333333333333,1.0,2019-05-05,gsc_property,worldwide,mobile,
programación hbo chile,1.0,194.0,0.005154639175257732,8.123711340206185,2019-05-05,gsc_property,worldwide,mobile,
