id,Clicks,Impressions,CTR,Position,Date,Device
0,379.0,1014.0,0.6157116953061932,2.6024501443028982,2019-05-01,mobile
1,400.0,960.0,0.5731322993463727,2.822567794093726,2019-05-02,mobile
2,360.0,945.0,0.5897930234168256,2.689822624866237,2019-05-03,mobile
3,363.0,843.0,0.613342878065846,2.38380171694134,2019-05-04,mobile
4,391.0,2918.0,0.580306715059466,2.909648219138666,2019-05-05,mobile
5,396.0,1367.0,0.519853108878164,2.362280996878451,2019-05-06,mobile
6,340.0,879.0,0.5103360748181077,4.33707739809149,2019-05-07,mobile
7,325.0,814.0,0.5491158485592971,3.8758684154441325,2019-05-08,mobile
8,286.0,616.0,0.6524137859156738,2.1509573613657182,2019-05-09,mobile
9,268.0,664.0,0.44766850541052783,4.642320223947253,2019-05-10,mobile
10,369.0,758.0,0.5292169568352985,4.710535638528773,2019-05-11,mobile
11,334.0,1669.0,0.5130774636714813,2.9411145065188316,2019-05-12,mobile
12,346.0,915.0,0.5768927334448941,3.2256193615350663,2019-05-13,mobile
13,309.0,735.0,0.544008395016692,4.32284358928729,2019-05-14,mobile
14,362.0,850.0,0.5339036936264018,3.9641144164725954,2019-05-15,mobile
15,397.0,867.0,0.6344495925802646,2.0128561432714194,2019-05-16,mobile
16,427.0,970.0,0.5360841151101747,2.7655072738810635,2019-05-17,mobile
17,498.0,1253.0,0.5567901631212937,2.2718004981065456,2019-05-18,mobile
18,321.0,863.0,0.5868717538452448,3.191501317000156,2019-05-19,mobile
19,315.0,844.0,0.5806215924018199,2.994429223037733,2019-05-20,mobile
20,312.0,750.0,0.6070699897200422,3.0557210233515115,2019-05-21,mobile
21,286.0,800.0,0.45739372770920594,3.301287636620158,2019-05-22,mobile
22,307.0,717.0,0.5259065277428209,5.271832399626517,2019-05-23,mobile
23,282.0,727.0,0.4557685803853611,3.833712855910014,2019-05-24,mobile
24,369.0,920.0,0.5912622442420239,2.6716075837417748,2019-05-25,mobile
25,278.0,784.0,0.5450427679459283,3.367077095886545,2019-05-26,mobile
26,298.0,887.0,0.46450551301930765,2.5047089557981574,2019-05-27,mobile
27,265.0,757.0,0.40892520682497685,4.3501142949283516,2019-05-28,mobile
28,356.0,964.0,0.5390838784334613,3.9252309147200135,2019-05-29,mobile
29,370.0,880.0,0.5779552331348883,2.4131263048545653,2019-05-30,mobile
30,405.0,1008.0,0.5739721370996955,2.778068554238765,2019-05-31,mobile
