Keyword,Clicks,Impressions,CTR,Position
b'tuves',640.0,1066.0,0.600375234521576,1.1894934333958724
b'tuves hd',301.0,482.0,0.6244813278008299,1.0269709543568464
b'tu ves',210.0,515.0,0.4077669902912621,1.5650485436893202
b'tu ves hd',169.0,231.0,0.7316017316017316,1.0303030303030303
b'tuves programacion',154.0,156.0,0.9871794871794872,1.0
b'canales online',128.0,2022.0,0.06330365974282888,8.138476755687439
b'tuves chile',121.0,183.0,0.6612021857923497,1.0163934426229508
b'tuveshd',107.0,219.0,0.4885844748858447,1.004566210045662
b'tuves.cl',66.0,101.0,0.6534653465346535,1.0
b'tv cable',59.0,864.0,0.06828703703703703,3.8043981481481484
