Keyword,Clicks,Impressions,CTR,Position
b'keiphone',654.0,848.0,0.7712264150943396,1.0117924528301887
b'keyphone',77.0,99.0,0.7777777777777778,1.0
b'keiphone smartwatch',37.0,58.0,0.6379310344827587,1.0
b'celular chileno',36.0,82.0,0.43902439024390244,1.0
b'k10 helio',30.0,58.0,0.5172413793103449,1.0
b'keiphone k10',21.0,44.0,0.4772727272727273,1.0
b'keiphone chile',16.0,20.0,0.8,1.0
b'keiphone k10s',16.0,33.0,0.48484848484848486,1.0303030303030303
b'k10s helio',15.0,28.0,0.5357142857142857,1.0
b'keiphone k10s helio',14.0,41.0,0.34146341463414637,1.0
