id,Clicks,Impressions,CTR,Position,Date,Device
1,63,138,0.288225814,4.437770563,1/1/19,mobile
2,72,208,0.185897436,10.00850816,1/2/19,mobile
3,88,215,0.226271645,7.806022409,1/3/19,mobile
4,74,174,0.234140586,8.957611833,1/4/19,mobile
5,86.5,212.5,0.203163502,10.64173776,1/5/19,mobile
6,91.4,224,0.190975354,11.77744156,1/6/19,mobile
7,96.3,235.5,0.178787207,12.91314537,1/7/19,mobile
8,101.2,247,0.166599059,14.04884917,1/8/19,mobile
9,106.1,258.5,0.154410912,15.18455298,1/9/19,mobile
10,111,270,0.142222764,16.32025679,1/10/19,mobile
11,115.9,281.5,0.130034617,17.45596059,1/11/19,mobile
12,120.8,293,0.11784647,18.5916644,1/12/19,mobile
13,125.7,304.5,0.105658322,19.7273682,1/13/19,mobile
14,130.6,316,0.093470175,20.86307201,1/14/19,mobile
15,135.5,327.5,0.081282027,21.99877582,1/15/19,mobile
16,140.4,339,0.06909388,23.13447962,1/16/19,mobile
