Keyword,Clicks,Impressions,CTR,Position
b'tuves hd',1416.0,2197.0,0.6445152480655439,1.005461993627674
b'tuves',1355.0,2216.0,0.6114620938628159,1.0934115523465704
b'tu ves',901.0,1800.0,0.5005555555555555,1.1838888888888888
b'tu ves hd',617.0,928.0,0.6648706896551724,1.0140086206896552
b'tuves chile',541.0,816.0,0.6629901960784313,1.0098039215686274
b'tuves hd chile',307.0,403.0,0.7617866004962779,1.0
b'tuves.cl',287.0,428.0,0.6705607476635514,1.0
b'tuves hd planes',230.0,312.0,0.7371794871794872,1.0
b'tuveshd',225.0,526.0,0.42775665399239543,1.005703422053232
b'tv cable',173.0,2000.0,0.0865,4.0065
