Url,Clicks,Impressions,CTR,Position
b'https://www.tuves.cl/',13786,94267,0.146244179,8.429598905
b'https://www.tuves.cl/ayuda/te-llamamos/',1704,30193,0.056436922,2.744775279
b'https://www.tuves.cl/entretenimiento/guia-de-canales/',816,25694,0.031758387,5.066630342
b'https://www.tuves.cl/ayuda/preguntas-frecuentes/',587,19838,0.029589676,4.682478072
b'https://www.tuves.cl/entretenimiento/guia-de-programacion/',488,26630,0.018325197,15.77179872
b'https://www.tuves.cl/ayuda/centros-de-pago/',456,13433,0.033946252,3.651827589
b'https://www.tuves.cl/entretenimiento/canales-play/',377,26015,0.014491639,3.812339035
b'https://www.tuves.cl/entretenimiento/plan-y-kit/arrienda-tu-kit/',371,31979,0.011601363,2.510929047
b'https://www.tuves.cl/Manual_STB_Kaon_TUVES_low.pdf',318,4007,0.079361118,7.760419266
b'https://www.tuves.cl/entretenimiento/plan-y-kit/compra-tu-kit/',307,34902,0.008796058,2.470087674
