Keyword,Clicks,Impressions,CTR,Position,Date, Page,Country,Device
tuves,37.0,57.0,0.6491228070175439,1.1578947368421053,2019-05-10,gsc_property,worldwide,mobile,
tu ves,31.0,56.0,0.5535714285714286,1.1964285714285714,2019-05-10,gsc_property,worldwide,mobile,
tuves hd,30.0,46.0,0.6521739130434783,1.0217391304347827,2019-05-10,gsc_property,worldwide,mobile,
tuves chile,21.0,31.0,0.6774193548387096,1.032258064516129,2019-05-10,gsc_property,worldwide,mobile,
tu ves hd,15.0,19.0,0.7894736842105263,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuves hd planes,9.0,13.0,0.6923076923076923,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuveshd,9.0,14.0,0.6428571428571429,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuves hd chile,8.0,10.0,0.8,1.0,2019-05-10,gsc_property,worldwide,mobile,
tv cable,7.0,38.0,0.18421052631578946,4.447368421052632,2019-05-10,gsc_property,worldwide,mobile,
tuves.cl,6.0,9.0,0.6666666666666666,1.0,2019-05-10,gsc_property,worldwide,mobile,
cable tuves,5.0,8.0,0.625,1.0,2019-05-10,gsc_property,worldwide,mobile,
tu ves cable,5.0,11.0,0.45454545454545453,1.0,2019-05-10,gsc_property,worldwide,mobile,
call center tuves hd,4.0,4.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
tu ves tv,4.0,6.0,0.6666666666666666,1.1666666666666667,2019-05-10,gsc_property,worldwide,mobile,
tuves cable,3.0,5.0,0.6,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuves hd pago,3.0,11.0,0.2727272727272727,2.0,2019-05-10,gsc_property,worldwide,mobile,
tuvez,3.0,5.0,0.6,1.0,2019-05-10,gsc_property,worldwide,mobile,
tv satelital,3.0,15.0,0.2,4.666666666666666,2019-05-10,gsc_property,worldwide,mobile,
configuracion decodificador tuves,2.0,2.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
fono tuves hd,2.0,4.0,0.5,1.0,2019-05-10,gsc_property,worldwide,mobile,
tu tv hd,2.0,17.0,0.11764705882352941,5.411764705882353,2019-05-10,gsc_property,worldwide,mobile,
tuves hd pagos,2.0,8.0,0.25,2.0,2019-05-10,gsc_property,worldwide,mobile,
tuves ovalle,2.0,2.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuves tv,2.0,3.0,0.6666666666666666,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuves. cl,2.0,3.0,0.6666666666666666,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuvezhd,2.0,5.0,0.4,1.0,2019-05-10,gsc_property,worldwide,mobile,
tv cable chile,2.0,4.0,0.5,3.0,2019-05-10,gsc_property,worldwide,mobile,
tv cable tuves,2.0,3.0,0.6666666666666666,1.0,2019-05-10,gsc_property,worldwide,mobile,
tv hd,2.0,13.0,0.15384615384615385,4.461538461538462,2019-05-10,gsc_property,worldwide,mobile,
tvhd,2.0,5.0,0.4,3.2,2019-05-10,gsc_property,worldwide,mobile,
cable tu ves,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
cable tube,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
cable tubes,1.0,2.0,0.5,1.0,2019-05-10,gsc_property,worldwide,mobile,
cable tv chile,1.0,1.0,1.0,2.0,2019-05-10,gsc_property,worldwide,mobile,
call center tuves,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
canales de tuves,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
canales online,1.0,55.0,0.01818181818181818,8.236363636363636,2019-05-10,gsc_property,worldwide,mobile,
decodificador tuves hd,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
donde pagar tuves hd,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
mi punto tuves.cl,1.0,2.0,0.5,1.0,2019-05-10,gsc_property,worldwide,mobile,
mipunto tubes cl,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
numero de telefono de tuves,1.0,4.0,0.25,2.0,2019-05-10,gsc_property,worldwide,mobile,
numero de tuves hd,1.0,3.0,0.3333333333333333,1.3333333333333333,2019-05-10,gsc_property,worldwide,mobile,
pagar tv cable tuves,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
planes de tv,1.0,3.0,0.3333333333333333,7.666666666666667,2019-05-10,gsc_property,worldwide,mobile,
programacion maxima tv,1.0,1.0,1.0,6.0,2019-05-10,gsc_property,worldwide,mobile,
servicio al cliente tuves hd,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
television por cable,1.0,10.0,0.1,7.3,2019-05-10,gsc_property,worldwide,mobile,
television por cable mas economico,1.0,2.0,0.5,1.0,2019-05-10,gsc_property,worldwide,mobile,
television satelital,1.0,10.0,0.1,2.8,2019-05-10,gsc_property,worldwide,mobile,
televisión satelital,1.0,15.0,0.06666666666666667,2.7333333333333334,2019-05-10,gsc_property,worldwide,mobile,
tu es hd,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
tu tv,1.0,6.0,0.16666666666666666,2.833333333333333,2019-05-10,gsc_property,worldwide,mobile,
tu vez,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
tubeshd,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
tutv hd,1.0,3.0,0.3333333333333333,9.333333333333334,2019-05-10,gsc_property,worldwide,mobile,
tuve hd,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuves hd cable,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuves hd canales,1.0,2.0,0.5,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuves hd cdf hd,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuves hd gratis,1.0,4.0,0.25,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuves hd iquique,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuves hd numero,1.0,1.0,1.0,2.0,2019-05-10,gsc_property,worldwide,mobile,
tuves internet,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuves pagar,1.0,11.0,0.09090909090909091,2.0,2019-05-10,gsc_property,worldwide,mobile,
tuves pago,1.0,7.0,0.14285714285714285,2.0,2019-05-10,gsc_property,worldwide,mobile,
tuves tv chile,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuveshd.cl,1.0,3.0,0.3333333333333333,1.0,2019-05-10,gsc_property,worldwide,mobile,
tuvez hd,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
tv maxima hd,1.0,1.0,1.0,5.0,2019-05-10,gsc_property,worldwide,mobile,
tv por cable,1.0,5.0,0.2,3.2,2019-05-10,gsc_property,worldwide,mobile,
+tv,0.0,2.0,0.0,10.0,2019-05-10,gsc_property,worldwide,mobile,
actualizar deco tuves hd,0.0,1.0,0.0,6.0,2019-05-10,gsc_property,worldwide,mobile,
almagro padre hurtado,0.0,1.0,0.0,66.0,2019-05-10,gsc_property,worldwide,mobile,
antena para tv con entrada hdmi,0.0,1.0,0.0,7.0,2019-05-10,gsc_property,worldwide,mobile,
antena satelital,0.0,2.0,0.0,7.5,2019-05-10,gsc_property,worldwide,mobile,
cabke,0.0,1.0,0.0,9.0,2019-05-10,gsc_property,worldwide,mobile,
cable,0.0,15.0,0.0,10.733333333333333,2019-05-10,gsc_property,worldwide,mobile,
cable barato,0.0,2.0,0.0,2.0,2019-05-10,gsc_property,worldwide,mobile,
cable barato sin contrato,0.0,1.0,0.0,57.0,2019-05-10,gsc_property,worldwide,mobile,
cable chile,0.0,2.0,0.0,6.5,2019-05-10,gsc_property,worldwide,mobile,
cable colina,0.0,4.0,0.0,7.5,2019-05-10,gsc_property,worldwide,mobile,
cable de tv,0.0,2.0,0.0,3.0,2019-05-10,gsc_property,worldwide,mobile,
cable del puerto,0.0,2.0,0.0,3.0,2019-05-10,gsc_property,worldwide,mobile,
cable htv,0.0,1.0,0.0,5.0,2019-05-10,gsc_property,worldwide,mobile,
cable onda call center,0.0,1.0,0.0,40.0,2019-05-10,gsc_property,worldwide,mobile,
cable online chile,0.0,1.0,0.0,8.0,2019-05-10,gsc_property,worldwide,mobile,
cable por antena,0.0,2.0,0.0,3.5,2019-05-10,gsc_property,worldwide,mobile,
cable por internet chile,0.0,2.0,0.0,6.5,2019-05-10,gsc_property,worldwide,mobile,
cable prepago,0.0,1.0,0.0,3.0,2019-05-10,gsc_property,worldwide,mobile,
cable satelital,0.0,3.0,0.0,1.0,2019-05-10,gsc_property,worldwide,mobile,
cable tv,0.0,8.0,0.0,4.0,2019-05-10,gsc_property,worldwide,mobile,
cable tv prepago,0.0,1.0,0.0,2.0,2019-05-10,gsc_property,worldwide,mobile,
cable. tv,0.0,1.0,0.0,3.0,2019-05-10,gsc_property,worldwide,mobile,
cablehd.online,0.0,1.0,0.0,5.0,2019-05-10,gsc_property,worldwide,mobile,
canal colina,0.0,1.0,0.0,7.0,2019-05-10,gsc_property,worldwide,mobile,
canal tv mas,0.0,1.0,0.0,11.0,2019-05-10,gsc_property,worldwide,mobile,
canales claro tv,0.0,1.0,0.0,9.0,2019-05-10,gsc_property,worldwide,mobile,
canales hd online,0.0,1.0,0.0,7.0,2019-05-10,gsc_property,worldwide,mobile,
canales on line,0.0,5.0,0.0,10.8,2019-05-10,gsc_property,worldwide,mobile,
tuves hd,8.0,12.0,0.6666666666666666,1.0,2019-05-10,gsc_property,worldwide,desktop,
tuves programacion,7.0,7.0,1.0,1.0,2019-05-10,gsc_property,worldwide,desktop,
tu ves,6.0,11.0,0.5454545454545454,2.090909090909091,2019-05-10,gsc_property,worldwide,desktop,
tuves,6.0,18.0,0.3333333333333333,1.3888888888888888,2019-05-10,gsc_property,worldwide,desktop,
tu ves hd,5.0,7.0,0.7142857142857143,1.5714285714285714,2019-05-10,gsc_property,worldwide,desktop,
canales online,4.0,57.0,0.07017543859649122,9.543859649122806,2019-05-10,gsc_property,worldwide,desktop,
tuves hd planes,4.0,6.0,0.6666666666666666,1.0,2019-05-10,gsc_property,worldwide,desktop,
tuvez,4.0,4.0,1.0,1.0,2019-05-10,gsc_property,worldwide,desktop,
tuves chile,3.0,5.0,0.6,1.0,2019-05-10,gsc_property,worldwide,desktop,
tv satelital,3.0,13.0,0.23076923076923078,11.846153846153847,2019-05-10,gsc_property,worldwide,desktop,
tv cable,2.0,27.0,0.07407407407407407,3.925925925925926,2019-05-10,gsc_property,worldwide,desktop,
cable satelital,1.0,3.0,0.3333333333333333,1.0,2019-05-10,gsc_property,worldwide,desktop,
cable tuves,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,desktop,
sky tv satelital,1.0,1.0,1.0,3.0,2019-05-10,gsc_property,worldwide,desktop,
soporte tecnico tuves hd,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,desktop,
television barato,1.0,1.0,1.0,125.0,2019-05-10,gsc_property,worldwide,desktop,
television satelital,1.0,14.0,0.07142857142857142,1.0,2019-05-10,gsc_property,worldwide,desktop,
tutv,1.0,2.0,0.5,7.5,2019-05-10,gsc_property,worldwide,desktop,
tuves hd chile,1.0,2.0,0.5,1.0,2019-05-10,gsc_property,worldwide,desktop,
tuves iquique,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,desktop,
tuves.cl,1.0,1.0,1.0,1.0,2019-05-10,gsc_property,worldwide,desktop,
tuveshd,1.0,2.0,0.5,1.0,2019-05-10,gsc_property,worldwide,desktop,
tuveshd.cl,1.0,2.0,0.5,1.0,2019-05-10,gsc_property,worldwide,desktop,
tv cable chile,1.0,2.0,0.5,2.5,2019-05-10,gsc_property,worldwide,desktop,
tv cable online chile,1.0,4.0,0.25,9.75,2019-05-10,gsc_property,worldwide,desktop,
