Keyword,Clicks,Impressions,CTR,Position
b'tuves',2012.0,3314.0,0.6071213035606517,1.123717561858781
b'tuves hd',1722.0,2691.0,0.6399108138238573,1.0092902266815311
b'tu ves',1115.0,2326.0,0.4793637145313844,1.2721410146173688
b'tu ves hd',791.0,1165.0,0.6789699570815451,1.0171673819742488
b'tuves chile',667.0,1007.0,0.6623634558093346,1.0109235352532273
b'tuves.cl',356.0,532.0,0.6691729323308271,1.0
b'tuves hd chile',337.0,452.0,0.745575221238938,1.0
b'tuveshd',334.0,752.0,0.4441489361702128,1.0053191489361701
b'tuves hd planes',278.0,369.0,0.7533875338753387,1.0
b'tv cable',233.0,2903.0,0.08026179813985532,3.9476403720289355
