id,Clicks,Impressions,CTR,Position,Date,Device
0,8.0,74.0,0.140625,7.909615384615384,2019-05-01,tablet
1,5.0,61.0,0.10476190476190476,6.757142857142857,2019-05-02,tablet
2,5.0,77.0,0.11264822134387352,5.751445655793482,2019-05-03,tablet
3,6.0,64.0,0.17777777777777776,5.113611111111111,2019-05-04,tablet
4,8.0,112.0,0.1169811320754717,8.592557651991614,2019-05-05,tablet
5,2.0,57.0,0.05357142857142857,6.655612244897959,2019-05-06,tablet
6,2.0,53.0,0.04666666666666667,7.615809523809524,2019-05-07,tablet
7,1.0,63.0,0.037037037037037035,8.875356125356126,2019-05-08,tablet
8,5.0,66.0,0.1111111111111111,9.74422973698336,2019-05-09,tablet
9,4.0,51.0,0.12037037037037036,5.75,2019-05-10,tablet
10,0.0,69.0,0.0,7.462878787878788,2019-05-11,tablet
11,4.0,89.0,0.047619047619047616,8.318027210884354,2019-05-12,tablet
12,5.0,74.0,0.10277777777777779,7.3453216374269,2019-05-13,tablet
13,3.0,57.0,0.10416666666666667,7.588405797101449,2019-05-14,tablet
14,3.0,46.0,0.10869565217391304,5.923913043478261,2019-05-15,tablet
15,3.0,65.0,0.06060606060606061,6.408484848484849,2019-05-16,tablet
16,3.0,55.0,0.09090909090909091,7.556618819776714,2019-05-17,tablet
17,5.0,56.0,0.1388888888888889,8.426136363636365,2019-05-18,tablet
18,2.0,61.0,0.03968253968253969,6.609126984126983,2019-05-19,tablet
19,3.0,112.0,0.075,13.023703703703704,2019-05-20,tablet
20,1.0,59.0,0.03333333333333333,7.171052631578948,2019-05-21,tablet
21,4.0,74.0,0.08602150537634408,9.409966914805624,2019-05-22,tablet
22,1.0,64.0,0.011904761904761904,6.863945578231293,2019-05-23,tablet
23,3.0,43.0,0.09090909090909091,6.061305361305361,2019-05-24,tablet
24,5.0,60.0,0.11538461538461539,6.412820512820512,2019-05-25,tablet
25,4.0,60.0,0.08648648648648649,5.98927108927109,2019-05-26,tablet
26,1.0,62.0,0.022727272727272728,7.300619834710744,2019-05-27,tablet
27,2.0,47.0,0.09090909090909091,6.9585858585858595,2019-05-28,tablet
28,5.0,47.0,0.17261904761904762,7.13888888888889,2019-05-29,tablet
29,5.0,61.0,0.109375,6.494034090909091,2019-05-30,tablet
30,0.0,61.0,0.0,12.419580419580418,2019-05-31,tablet
